arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
great_tables/_pipe.py,function,,pipe,A,1,14,103
great_tables/_stub.py,function,,reorder_stub_df,A,1,6,25
great_tables/_gt_data.py,function,,_prep_gt,A,1,59,71
great_tables/_gt_data.py,method,GTData,_tbl_data,A,1,186,187
great_tables/_gt_data.py,method,GTData,_body,A,1,190,191
great_tables/_gt_data.py,method,GTData,_boxhead,A,1,194,195
great_tables/_gt_data.py,method,GTData,_stub,A,1,198,199
great_tables/_gt_data.py,method,GTData,_spanners,A,1,202,203
great_tables/_gt_data.py,method,GTData,_heading,A,1,206,207
great_tables/_gt_data.py,method,GTData,_stubhead,A,1,210,211
great_tables/_gt_data.py,method,GTData,_summary_rows,A,1,214,215
great_tables/_gt_data.py,method,GTData,_summary_rows_grand,A,1,218,219
great_tables/_gt_data.py,method,GTData,_source_notes,A,1,222,223
great_tables/_gt_data.py,method,GTData,_footnotes,A,1,226,227
great_tables/_gt_data.py,method,GTData,_styles,A,1,230,231
great_tables/_gt_data.py,method,GTData,_locale,A,1,234,235
great_tables/_gt_data.py,method,GTData,_formats,A,1,238,239
great_tables/_gt_data.py,method,GTData,_substitutions,A,1,242,243
great_tables/_gt_data.py,method,GTData,_col_merge,A,1,246,247
great_tables/_gt_data.py,method,GTData,_transforms,A,1,250,251
great_tables/_gt_data.py,method,GTData,_options,A,1,254,255
great_tables/_gt_data.py,method,GTData,_google_font_imports,A,1,258,259
great_tables/_gt_data.py,method,GTData,_has_built,A,1,262,263
great_tables/_gt_data.py,method,_Sequence,__init__,A,1,317,318
great_tables/_gt_data.py,method,_Sequence,__getitem__,A,1,321,321
great_tables/_gt_data.py,method,_Sequence,__getitem__,A,1,324,324
great_tables/_gt_data.py,method,_Sequence,__getitem__,A,1,327,327
great_tables/_gt_data.py,method,_Sequence,__len__,A,1,337,338
great_tables/_gt_data.py,method,_Sequence,__repr__,A,1,340,341
great_tables/_gt_data.py,method,Body,__init__,A,1,357,358
great_tables/_gt_data.py,method,Body,copy,A,1,381,382
great_tables/_gt_data.py,method,Body,from_empty,A,1,385,388
great_tables/_gt_data.py,method,ColInfo,replace_column_label,A,1,426,427
great_tables/_gt_data.py,method,ColInfo,visible,A,1,430,431
great_tables/_gt_data.py,method,ColInfo,is_stub,A,1,434,438
great_tables/_gt_data.py,method,Boxhead,__init__,A,1,482,489
great_tables/_gt_data.py,method,Boxhead,__getnewargs__,A,1,491,492
great_tables/_gt_data.py,method,Boxhead,set_cols_hidden,A,1,529,530
great_tables/_gt_data.py,method,Boxhead,set_cols_unhidden,A,1,532,533
great_tables/_gt_data.py,method,Boxhead,_get_number_of_visible_data_columns,A,1,665,666
great_tables/_gt_data.py,method,Boxhead,_get_effective_number_of_columns,A,1,670,681
great_tables/_gt_data.py,method,Stub,__init__,A,1,736,738
great_tables/_gt_data.py,method,Stub,_set_cols,A,1,770,781
great_tables/_gt_data.py,method,Stub,order_groups,A,1,792,794
great_tables/_gt_data.py,method,Stub,group_indices_map,A,1,839,840
great_tables/_gt_data.py,method,Stub,__iter__,A,1,842,843
great_tables/_gt_data.py,method,Stub,__len__,A,1,845,846
great_tables/_gt_data.py,method,Stub,__getitem__,A,1,848,849
great_tables/_gt_data.py,method,GroupRowInfo,with_group_label,A,1,930,932
great_tables/_gt_data.py,method,Spanners,append_entry,A,1,1047,1048
great_tables/_gt_data.py,method,Locale,__init__,A,1,1114,1115
great_tables/_gt_data.py,method,CellSubset,resolve,A,1,1141,1142
great_tables/_gt_data.py,method,CellRectangle,__init__,A,1,1149,1151
great_tables/_gt_data.py,method,CellRectangle,resolve,A,1,1153,1154
great_tables/_gt_data.py,method,FormatInfo,__init__,A,1,1166,1168
great_tables/_gt_data.py,method,SummaryRows,__bool__,A,1,1241,1243
great_tables/_gt_data.py,method,SummaryRows,__iter__,A,1,1341,1342
great_tables/_gt_data.py,method,SummaryRows,__len__,A,1,1344,1345
great_tables/_gt_data.py,method,OptionsInfo,_raise_type_error,A,1,1373,1375
great_tables/_gt_data.py,method,Options,__setattr__,A,1,1671,1672
great_tables/_gt_data.py,method,Options,items,A,1,1674,1675
great_tables/_gt_data.py,method,Options,values,A,1,1677,1678
great_tables/_gt_data.py,method,Options,_replace,A,1,1680,1683
great_tables/_gt_data.py,method,Options,__getitem__,A,1,1685,1686
great_tables/_gt_data.py,method,Options,_set_option_value,A,1,1694,1699
great_tables/_stubhead.py,function,,tab_stubhead,A,1,11,68
great_tables/_options.py,function,,opt_row_striping,A,1,635,682
great_tables/_options.py,function,,opt_align_table_header,A,1,685,735
great_tables/_options.py,function,,opt_table_outline,A,1,1106,1184
great_tables/_formats_vals.py,function,,expressive,A,1,29,50
great_tables/_formats_vals.py,function,,wrapper,A,1,33,33
great_tables/_formats_vals.py,function,,wrapper,A,1,36,36
great_tables/_formats_vals.py,function,,val_fmt_number,A,1,93,220
great_tables/_formats_vals.py,function,,val_fmt_scientific,A,1,327,454
great_tables/_formats_vals.py,function,,val_fmt_engineering,A,1,458,582
great_tables/_formats_vals.py,function,,val_fmt_percent,A,1,586,712
great_tables/_formats_vals.py,function,,val_fmt_partsper,A,1,716,845
great_tables/_formats_vals.py,function,,val_fmt_currency,A,1,849,986
great_tables/_formats_vals.py,function,,val_fmt_roman,A,1,990,1036
great_tables/_formats_vals.py,function,,val_fmt_bytes,A,1,1040,1157
great_tables/_formats_vals.py,function,,val_fmt_duration,A,1,1161,1245
great_tables/_formats_vals.py,function,,val_fmt_date,A,1,1249,1332
